nohup: ignoring input
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Device: cuda
Tokenizer loaded from tokenizer/tokenizer.json (vocab=32000)
============================================================
Stage 3: Building dataset
============================================================

Loading legal chunks...
  Loaded 221122 from legal_train.jsonl
  Loaded 50010 from legal_val.jsonl
  Total legal train: 221122
  Total legal val:   50010

Loading second-pass legal examples...
  Loaded 21240 from legal_second_pass.jsonl
  Total second-pass: 21240

Loading arXiv anchor (limit=20000)...
  Loaded 10000 from arxiv_aligned.jsonl
  Loaded 10000 from pubmed_aligned.jsonl
Loading CNN/DM anchor (limit=10000)...
  Loaded 10000 CNN/DM samples

  Legal chunks      : 221122
  Second-pass       : 21240
  arXiv anchor      : 20000
  CNN/DM anchor     : 10000
  Val set           : 2000
  Train steps/epoch : 24569
  Val batches       : 125
  Batch composition : 9 legal + 4 2nd-pass + 2 arXiv + 1 cnn = 16
Model built — 32,413,184 trainable parameters

Loading Stage 2 checkpoint: checkpoints/stage2_best.pt
  Stage 2 val loss: 4.3827
  Stage 2 epoch:    10
  Dropout updated to 0.3

Total steps: 368535, Warmup: 500

Reference: On March 8th, 2014, several citizens of Montgomery, Alabama, who had been imprisoned for failing to pay traffic fines, filed a lawsuit in the U.S. District Court for the Middle District of Alabama, un
============================================================

>>> Unfreezing stage 1: 17,047,808 trainable parameters
  batch  4400/24569 | ce 5.2894 | cov 0.6580 | λ_cov=0.0 | grad 2.936 | lr 5.00e-05
  batch  4500/24569 | ce 5.4273 | cov 0.6518 | λ_cov=0.0 | grad 2.948 | lr 5.00e-05
  batch  4600/24569 | ce 5.2299 | cov 0.6664 | λ_cov=0.0 | grad 3.404 | lr 5.00e-05
  batch  4700/24569 | ce 5.1235 | cov 0.6509 | λ_cov=0.0 | grad 2.893 | lr 5.00e-05
  batch  4800/24569 | ce 5.5563 | cov 0.6715 | λ_cov=0.0 | grad 2.970 | lr 5.00e-05
  batch  4900/24569 | ce 5.1448 | cov 0.6641 | λ_cov=0.0 | grad 2.958 | lr 5.00e-05
  batch  5000/24569 | ce 5.3120 | cov 0.6421 | λ_cov=0.0 | grad 3.309 | lr 5.00e-05
  batch  5100/24569 | ce 5.2266 | cov 0.6439 | λ_cov=0.0 | grad 4.936 | lr 5.00e-05
  batch  5200/24569 | ce 5.2989 | cov 0.6655 | λ_cov=0.0 | grad 2.871 | lr 5.00e-05
  batch  5300/24569 | ce 5.4587 | cov 0.6597 | λ_cov=0.0 | grad 3.469 | lr 5.00e-05
  batch  5400/24569 | ce 5.1803 | cov 0.6444 | λ_cov=0.0 | grad 3.025 | lr 5.00e-05
  batch  5500/24569 | ce 5.2414 | cov 0.6740 | λ_cov=0.0 | grad 2.984 | lr 5.00e-05
  batch  5600/24569 | ce 5.2539 | cov 0.6624 | λ_cov=0.0 | grad 4.245 | lr 5.00e-05
  batch  5700/24569 | ce 5.3098 | cov 0.6685 | λ_cov=0.0 | grad 2.849 | lr 5.00e-05
  batch  5800/24569 | ce 5.2406 | cov 0.6546 | λ_cov=0.0 | grad 3.550 | lr 5.00e-05
  batch  5900/24569 | ce 5.1647 | cov 0.6500 | λ_cov=0.0 | grad 3.200 | lr 5.00e-05
  batch  6000/24569 | ce 4.9280 | cov 0.6575 | λ_cov=0.0 | grad 2.884 | lr 5.00e-05
  batch  6100/24569 | ce 5.1251 | cov 0.6452 | λ_cov=0.0 | grad 2.835 | lr 5.00e-05
  batch  6200/24569 | ce 5.4210 | cov 0.6671 | λ_cov=0.0 | grad 3.331 | lr 5.00e-05
  batch  6300/24569 | ce 5.1668 | cov 0.6620 | λ_cov=0.0 | grad 2.864 | lr 5.00e-05
  batch  6400/24569 | ce 5.2941 | cov 0.6457 | λ_cov=0.0 | grad 3.620 | lr 5.00e-05
  batch  6500/24569 | ce 5.1662 | cov 0.6711 | λ_cov=0.0 | grad 2.821 | lr 5.00e-05
  batch  6600/24569 | ce 5.1742 | cov 0.6580 | λ_cov=0.0 | grad 3.933 | lr 5.00e-05
  batch  6700/24569 | ce 5.3543 | cov 0.6565 | λ_cov=0.0 | grad 2.684 | lr 5.00e-05
  batch  6800/24569 | ce 5.0790 | cov 0.6767 | λ_cov=0.0 | grad 2.835 | lr 5.00e-05
  batch  6900/24569 | ce 4.9894 | cov 0.6440 | λ_cov=0.0 | grad 3.091 | lr 5.00e-05
  batch  7000/24569 | ce 5.0717 | cov 0.6548 | λ_cov=0.0 | grad 2.879 | lr 5.00e-05
  batch  7100/24569 | ce 5.3018 | cov 0.6514 | λ_cov=0.0 | grad 2.766 | lr 5.00e-05
  batch  7200/24569 | ce 5.2093 | cov 0.6537 | λ_cov=0.0 | grad 2.866 | lr 5.00e-05
  batch  7300/24569 | ce 5.0276 | cov 0.6542 | λ_cov=0.0 | grad 3.697 | lr 5.00e-05
  batch  7400/24569 | ce 5.0317 | cov 0.6634 | λ_cov=0.0 | grad 2.979 | lr 5.00e-05
  batch  7500/24569 | ce 5.3916 | cov 0.6530 | λ_cov=0.0 | grad 2.697 | lr 5.00e-05
  batch  7600/24569 | ce 5.4875 | cov 0.6642 | λ_cov=0.0 | grad 2.929 | lr 5.00e-05
  batch  7700/24569 | ce 5.3479 | cov 0.6501 | λ_cov=0.0 | grad 2.827 | lr 5.00e-05
  batch  7800/24569 | ce 5.2624 | cov 0.6619 | λ_cov=0.0 | grad 2.891 | lr 5.00e-05
  batch  7900/24569 | ce 5.0427 | cov 0.6730 | λ_cov=0.0 | grad 3.074 | lr 5.00e-05
  batch  8000/24569 | ce 5.2121 | cov 0.6614 | λ_cov=0.0 | grad 2.847 | lr 4.99e-05
  batch  8100/24569 | ce 5.0287 | cov 0.6612 | λ_cov=0.0 | grad 2.716 | lr 4.99e-05
  batch  8200/24569 | ce 5.1628 | cov 0.6582 | λ_cov=0.0 | grad 3.375 | lr 4.99e-05
  batch  8300/24569 | ce 4.9900 | cov 0.6645 | λ_cov=0.0 | grad 2.771 | lr 4.99e-05
  batch  8400/24569 | ce 5.2196 | cov 0.6816 | λ_cov=0.0 | grad 3.499 | lr 4.99e-05
  batch  8500/24569 | ce 5.3357 | cov 0.6649 | λ_cov=0.0 | grad 2.753 | lr 4.99e-05
  batch  8600/24569 | ce 4.9114 | cov 0.6497 | λ_cov=0.0 | grad 2.755 | lr 4.99e-05
  batch  8700/24569 | ce 5.2205 | cov 0.6746 | λ_cov=0.0 | grad 2.720 | lr 4.99e-05
  batch  8800/24569 | ce 5.0758 | cov 0.6682 | λ_cov=0.0 | grad 4.690 | lr 4.99e-05
  batch  8900/24569 | ce 5.3224 | cov 0.6675 | λ_cov=0.0 | grad 3.244 | lr 4.99e-05
  batch  9000/24569 | ce 5.0547 | cov 0.6690 | λ_cov=0.0 | grad 2.662 | lr 4.99e-05
